OPE ID,School,State,Zip Code,School Type,PROCESSED IN Q2 Dependent Students,PROCESSED IN Q2 Independent Students,PROCESSED IN Q2 Quarterly Total,AWARD YEAR TO DATE Dependent Students,AWARD YEAR TO DATE Independent Students,AWARD YEAR TO DATE Award Year To Date Total
1183000,BERK TRADE AND BUSINESS SCHOOL          ,NY,11101-0000,Proprietary  ,34,31,65,73,39,112
1185900,WORD OF LIFE BIBLE INSTITUTE            ,NY,12860-0129,Private      ,171,13,184,344,31,375
1186000,MERCY HOSPITAL SCHOOL OF RADIOGRAPHY    ,NY,11570-1098,Private      ,6,3,9,17,5,22
1192100,WESTCHESTER SCH OF BEAUTY CULTURE       ,NY,10550-2295,Proprietary  ,12,13,25,20,26,46
1198400,OHR HAMEIR THEOLOGICAL SEMINARY         ,NY,10566-0990,Private      ,2,0,2,2,0,2
1201100,TALMUDICAL SEM OHOLEI TORAH             ,NY,11213-3310,Private      ,4,0,4,5,0,5
1220300,MEMORIAL COLLEGE OF NURSING             ,NY,12208-1715,Private      ,13,31,44,33,60,93
1227700,NORTHEAST COLLEGE OF HEALTH SCIENCES    ,NY,13148-0800,Private      ,5,227,232,14,302,316
1229300,VEEB NASSAU COUNTY SCHOOL OF PRACTICAL N,NY,11801-4302,Public       ,12,52,64,18,78,96
1235800,PLAZA COLLEGE                           ,NY,11372-6300,Proprietary  ,55,401,456,124,736,860
1236400,SAINT VINCENTS CATHOLIC MEDICAL CENTERS ,NY,11374-0000,Proprietary  ,30,212,242,58,405,463
1240700,SCHUYLER-CHEMUNG-TIOGA BOCES            ,NY,14901-1089,Public       ,8,34,42,13,50,63
1240701,STEUBEN SCHUYLER CHEMUNG TIOGA ALLEGANY ,NY,14870-9518,Public       ,0,1,1,0,1,1
1256100,FIVE TOWNS COLLEGE                      ,NY,11746-5871,Proprietary  ,198,53,251,397,78,475
1258900,ERIE 1 BOCES                            ,NY,14224-0000,Public       ,50,127,177,76,158,234
1265200,ONONDAGA CORTLAND MADISON BOCES         ,NY,13090-0000,Public       ,35,149,184,60,242,302
1278300,OSWEGO COUNTY BOCES ADULT CAREERS       ,NY,13114-4498,Public       ,4,5,9,9,6,15
1302600,MACHZIKEI HADATH RABBINICAL COLLEGE     ,NY,11204-1805,Private      ,2,1,3,2,1,3
1302700,YESHIVATH VIZNITZ                       ,NY,10952-3021,Private      ,0,1,1,0,1,1
1302900,BORICUA COLLEGE                         ,NY,10032-1599,Private      ,30,105,135,70,153,223
2056400,CAPRI COSMETOLOGY LEARNING CENTER       ,NY,10954-0000,Proprietary  ,53,85,138,89,136,225
2066200,THE NEW SCHOOL                          ,NY,10011-0000,Private      ,"2,287","1,155","3,442","7,653","1,778","9,431"
2069000,NEW YORK SCHOOL OF INTERIOR DESIGN      ,NY,10021-0000,Private      ,139,160,299,432,270,702
2093700,LONG ISLAND BUSINESS INSTITUTE-QUEENS   ,NY,11725-0000,Proprietary  ,8,49,57,22,62,84
2098400,HERKIMER COUNTY BOCES                   ,NY,13350-0000,Public       ,4,20,24,7,24,31
2104300,OTSEGO AREA SCHOOL OF PRAC NURSING      ,NY,12167-0000,Public       ,0,1,1,3,2,5
2105900,BRITTANY BEAUTY ACADEMY                 ,NY,11220-0000,Proprietary  ,21,36,57,45,63,108
2110900,CATTARAUGUS/ALLEGANY BOCES              ,NY,14760-0000,Public       ,11,17,28,17,24,41
2124000,ORANGE ULSTER BOCES SCH OF PRAC NRS     ,NY,10924-2410,Public       ,4,47,51,7,55,62
2125500,CIRCLE IN THE SQUARE THEATRE SCHOOL     ,NY,10019-0000,Private      ,12,16,28,27,22,49
2126300,MADISON-ONEIDA BOCES PRAC NRS           ,NY,13478-0000,Public       ,2,42,44,3,48,51
2145800,CAYUGA ONONDAGA BOCES                   ,NY,13021-9430,Public       ,10,8,18,11,11,22
2146000,WAYNE-FINGER LAKES BOCES                ,NY,14513-0000,Public       ,5,28,33,9,44,53
2152000,YESHIVA SHAAR HATORAH ITRI TORAH        ,NY,11418-1469,Private      ,1,0,1,2,0,2
2153600,BROOME-TIOGA BOCES PN PROG              ,NY,13905-0000,Public       ,7,37,44,12,52,64
2157900,ROCHESTER GENERAL-ISABELLA GRAHAM HART S,NY,14621-3007,Private      ,31,102,133,54,240,294
2158200,WSHNGTN-SARTGA-WARN-HMLTN-ESX BOCES     ,NY,12839-1051,Public       ,5,19,24,6,22,28
2160100,GENEVA GENERAL HOSPITAL                 ,NY,14456-0000,Private      ,4,23,27,10,39,49
2169100,DAVIS COLLEGE                           ,NY,13790-0000,Private      ,20,12,32,28,16,44
2170000,SWEDISH INSTITUTE                       ,NY,10001-0000,Proprietary  ,88,397,485,198,924,"1,122"
2170200,ALBANY SCHOHARIE SCHENECTADY            ,NY,12205-0000,Public       ,8,33,41,16,52,68
2171900,AILEY SCHOOL (THE)                      ,NY,10019-4402,Private      ,40,14,54,95,22,117
2172800,DUTCHESS COUNTY BOCES SCH PRAC NURS     ,NY,12601-0000,Public       ,8,19,27,13,46,59
2173200,EMPIRE BEAUTY SCHOOL                    ,NY,10001-0000,Proprietary  ,190,358,548,357,654,"1,011"
2179400,EASTERN SUFFOLK BOCES                   ,NY,11717-0000,Public       ,48,97,145,87,139,226
2182200,NEW SCHOOL CENTER FOR MEDIA             ,NY,10001-5271,Proprietary  ,36,23,59,68,35,103
2191600,TORAH TEMIMAH TALMUDICAL SEMINARY       ,NY,10312-2137,Private      ,1,0,1,4,1,5
2192500,BELLEVUE HOSP CTR SCH RAD TECH          ,NY,10016-0000,Public       ,10,28,38,21,43,64
2199300,ORLEANS-NIAGARA BOCES                   ,NY,14132-0000,Public       ,5,17,22,8,26,34
2206000,HUNTER BUSINESS SCHOOL                  ,NY,11756-0000,Proprietary  ,104,212,316,214,375,589
2219500,MILDRED ELLEY                           ,NY,12206-1513,Proprietary  ,52,510,562,70,693,763
2235600,ERIE 2-CHAUTAUQUA-CATTARAUGUS BOCES     ,NY,14006-0000,Public       ,1,3,4,3,7,10
2265100,YESHIVA DERECH CHAIM                    ,NY,11218-0000,Private      ,1,0,1,1,0,1
2272900,ROCKLAND COUNTY BOCES PRAC NRSG SCH     ,NY,10994-0000,Public       ,4,17,21,4,19,23
2275900,"MODERN WELDING SCHOOL, INC.             ",NY,12304-0000,Proprietary  ,18,15,33,28,24,52
2287800,NATIONAL TRACTOR TRAILER SCHOOL         ,NY,13088-2505,Proprietary  ,11,45,56,11,55,66
2314200,EMPIRE BEAUTY SCHOOL                    ,NY,10566-3805,Proprietary  ,14,8,22,22,14,36
2505900,SH-OR YOSHUV RABBINICAL COLLEGE         ,NY,11691-0000,Private      ,6,3,9,7,3,10
2506000,ASSOCIATED BETH RIVKAH SCHOOLS          ,NY,11225-0000,Private      ,17,2,19,18,3,21
2506100,CITY UNIV OF NEW YORK-CENTRAL           ,NY,10021-0000,Public       ,508,372,880,"1,416",608,"2,024"
2511500,JOFFREY BALLET SCHOOL                   ,NY,10011-0000,Proprietary  ,34,3,37,53,5,58
2546000,TRI-STATE COLLEGE OF ACUPUNCTURE        ,NY,10011-5126,Proprietary  ,3,4,7,3,6,9
2546300,YESHIVA OF THE TELSHE ALUMNI            ,NY,10471-0000,Private      ,3,0,3,4,0,4
2550600,TALMUDICAL INST OF UPSTATE NY           ,NY,14607-0000,Private      ,2,0,2,3,0,3
2556700,SEMINAR L'MOROS BAIS YAAKOV             ,NY,11219-1699,Private      ,3,1,4,3,1,4
2582000,BNOS ZION OF BOBOV SEMINARY             ,NY,11219-3621,Private      ,1,1,2,3,1,4
2587600,ORLO SCHOOL OF HAIR DESIGN AND COSMETOLO,NY,12206-1723,Proprietary  ,15,3,18,21,9,30
2599400,NEW YORK COLLEGE OF HEALTH PROFESSIONS  ,NY,11791-4413,Private      ,11,25,36,39,53,92
2600100,NEW YORK ACADEMY OF ART (THE)           ,NY,10013-2911,Private      ,106,72,178,300,132,432
2616600,SHEAR EGO INTERNATIONAL SCHOOL OF HAIR D,NY,14617-3501,Proprietary  ,15,31,46,29,47,76
2622900,BAIS MEDRASH ELYON                      ,NY,10952-3013,Private      ,1,1,2,1,1,2
3027701,PACIFIC COLLEGE OF ORIENTAL MEDICINE - N,NY,10038-3901,Proprietary  ,7,157,164,17,266,283
3081600,DELAWARE CHENANGO MADISON OTSEGO BOCES  ,NY,13815-9554,Public       ,3,7,10,5,9,14
3095500,ASA COLLEGE                             ,NY,11201-5208,Proprietary  ,30,111,141,83,233,316
3096200,CHARLES STUART SCHOOL                   ,NY,11229-2004,Proprietary  ,4,5,9,5,8,13
3097800,CARSTEN INSTITUTE OF COSMETOLOGY        ,NY,10017-6302,Proprietary  ,5,11,16,13,16,29
3115300,GENESEE VALLEY BOCES                    ,NY,14020-1099,Public       ,3,7,10,4,18,22
3120700,NEW YORK CONSERVATORY FOR DRAMATIC ARTS ,NY,10011-4225,Proprietary  ,151,46,197,395,85,480
3127100,YESHIVAS NOVOMINSK                      ,NY,11219-0000,Private      ,1,0,1,1,0,1
3129200,RABBINICAL CLG OHR SHIMAR YISROEL       ,NY,11211-8102,Private      ,1,0,1,1,0,1
3169300,STUDIO JEWELERS                         ,NY,10016-4112,Proprietary  ,4,14,18,10,20,30
3181400,MERKAZ BNOS                             ,NY,11214-0000,Private      ,0,2,2,0,2,2
3191300,CUNY SCHOOL OF LAW '(THE)'              ,NY,11101-4356,Public       ,29,446,475,86,691,777
3193300,MANHATTAN SCHOOL OF COMPUTER TECH       ,NY,11230-1617,Private      ,76,36,112,154,70,224
3203300,NEW YORK INSTITUTE OF MASSAGE           ,NY,14221-6021,Proprietary  ,3,20,23,3,30,33
3216300,UNIFICATION THEOLOGICAL SEMINARY        ,NY,10036-7408,Private      ,14,13,27,26,21,47
3358300,ALLEN SCHOOL                            ,NY,11432-4901,Proprietary  ,19,56,75,30,63,93
3358301,ALLEN SCHOOL - BROOKLYN                 ,NY,11201-0000,Proprietary  ,51,115,166,71,152,223
3419400,NORTHEASTERN SEMINARY                   ,NY,14624-1997,Private      ,5,36,41,9,53,62
3433500,LIA SCHORR INSTITUTE OF COSMETIC SKIN CA,NY,10019-2813,Proprietary  ,10,21,31,21,38,59
3443300,NEW YORK COLLEGE OF TRADITIONAL CHINESE ,NY,11501-4005,Private      ,2,34,36,5,53,58
3496300,YESHIVA SHAAREI TORAH OF ROCKLAND       ,NY,10901-4003,Private      ,1,1,2,1,1,2
3537300,NEW YORK AUTOMOTIVE & DIESEL INSTIT     ,NY,11101-0000,Proprietary  ,76,87,163,159,148,307
3568300,LEON STUDIO ONE SCHOOL OF BEAUTY KNOWLED,NY,14221-5323,Proprietary  ,7,5,12,8,8,16
3652300,METROPOLITAN LEARNING INSTITUTE         ,NY,11374-2101,Private      ,7,109,116,15,201,216
3665400,CHRISTIE'S EDUCATION                    ,NY,10020-8002,Proprietary  ,0,3,3,0,6,6
3713300,BEIS MEDRASH HEICHAL DOVID              ,NY,11691-4433,Private      ,2,2,4,3,2,5
3802300,UTA MESIVTA OF KIRYAS JOEL              ,NY,10950-2169,Private      ,0,1,1,0,1,1
3830304,SAE INSTITUTE OF TECHNOLOGY - NEWYORK   ,NY,10011-2915,Proprietary  ,79,99,178,141,154,295
3839300,AVEDA ARTS & SCIENCES INSTITUTE NEW YORK,NY,10013-1522,Proprietary  ,91,128,219,173,213,386
3903400,AMERICAN BEAUTY SCHOOL                  ,NY,10462-8003,Proprietary  ,49,59,108,95,101,196
3934300,YESHIVA ZICHRON ARYEH                   ,NY,11691-0000,Private      ,1,0,1,1,0,1
3983300,"SCHOOL OF PROFESSIONAL HORTICULTURE, AT ",NY,10458-5126,Private      ,4,8,12,7,16,23
4043300,ACE INSTITUTE OF TECHNOLOGY             ,NY,10018-6473,Proprietary  ,60,99,159,139,164,303
4092401,MAKE-UP DESIGNORY -                     ,NY,10012-0041,Proprietary  ,5,8,13,14,10,24
4095300,KING'S COLLEGE (THE)                    ,NY,10004-1603,Private      ,83,19,102,259,31,290
4102300,NEW AGE TRAINING                        ,NY,10001-4006,Proprietary  ,51,125,176,72,156,228
4117100,EDP SCHOOL                              ,NY,11235-0000,Private      ,3,61,64,4,113,117
4117700,"MONROE 2-ORLEANS BOCES, CENTER FOR WORK ",NY,14624-1119,Public       ,10,22,32,25,40,65
4119600,YESHIVA OF FAR ROCKAWAY DERECH AYSON RAB,NY,11691-5219,Private      ,2,1,3,3,1,4
4125600,CAREER SCHOOL OF NY                     ,NY,10301-2416,Private      ,15,42,57,48,66,114
4133700,NEW YORK MEDICAL CAREER TRAINING CENTER ,NY,11354-4232,Proprietary  ,25,89,114,42,126,168
4133701,NEW YORK MEDICAL CAREER TRAINING CENTER ,NY,10018-6504,Proprietary  ,38,134,172,81,182,263
4133702,NEW YORK MED CAR TRNG CENTER - MEDICAL C,NY,11530-4731,Proprietary  ,14,87,101,22,112,134
4144300,INSTITUTE OF CULINARY EDUCATION         ,NY,10281-5205,Proprietary  ,199,216,415,470,322,792
4151200,SALON PROFESSIONAL ACADEMY (THE)        ,NY,14150-9200,Proprietary  ,57,49,106,110,102,212
4156000,ACADEMY OF COSMETOLOGY & ESTHETICS NYC (,NY,10306-3003,Proprietary  ,73,53,126,175,86,261
4167600,FINGER LAKES SCHOOL OF MASSAGE (THE)    ,NY,14850-1384,Proprietary  ,1,5,6,3,6,9
4178700,ATELIER ESTHETIQUE INSTITUTE OF ESTHETIC,NY,10011-7307,Proprietary  ,30,71,101,49,105,154
4179800,SOTHEBY'S INSTITUTE OF ART - NY         ,NY,10022-6717,Proprietary  ,12,17,29,22,29,51
4180200,LONG ISLAND NAIL SKIN & HAIR INSTITUTE  ,NY,11756-1316,Proprietary  ,14,27,41,20,39,59
4189000,BARBER & BEAUTY INSTITUTE OF NEW YORK   ,NY,11550-6317,Proprietary  ,7,22,29,19,28,47
4190500,NEW YORK SCHOOL OF ESTHETICS & DAY SPA  ,NY,10606-3232,Proprietary  ,9,28,37,30,51,81
4192800,BE'ER YAAKOV TALMUDIC SEMINARY          ,NY,10977-1912,Private      ,2,4,6,2,4,6
4204300,AESTHETIC SCIENCE INSTITUTE (THE)       ,NY,12110-1095,Proprietary  ,30,52,82,46,68,114
4206200,DIGITAL FILM ACADEMY                    ,NY,10036-3708,Proprietary  ,45,65,110,130,103,233
4207400,YESHIVA GEDOLA OHR YISRAEL              ,NY,11229-1817,Private      ,0,0,0,1,0,1
4208600,RELAY GRADUATE SCHOOL OF EDUCATION      ,NY,10011-4262,Private      ,2,245,247,3,328,331
4210100,STELLA AND CHARLES GUTTMAN COMMUNITY COL,NY,10018-2602,Public       ,"1,108",120,"1,228","1,815",196,"2,011"
4210400,BETH MEDRASH MEOR YITZCHOK              ,NY,10952-4023,Private      ,0,2,2,0,2,2
4210700,NEW YORK INSTITUTE OF BEAUTY            ,NY,11749-1479,Proprietary  ,37,64,101,53,97,150
4213400,ACCESS CAREERS                          ,NY,11550-0000,Proprietary  ,21,33,54,33,58,91
4213500,SHARP EDGEZ BARBER INSTITUTE            ,NY,14620-0000,Proprietary  ,3,23,26,6,29,35
4215900,YESHIVA GEDOLAH KESSER TORAH            ,NY,10952-2127,Private      ,1,0,1,1,0,1
4223100,ARROJO COSMETOLOGY SCHOOL               ,NY,10014-4960,Proprietary  ,38,57,95,75,88,163
4223200,GRACE INTERNATIONAL BEAUTY SCHOOL       ,NY,11355-2446,Proprietary  ,0,3,3,0,6,6
4223300,ALLIANCE COMPUTING SOLUTIONS            ,NY,11354-6507,Proprietary  ,5,7,12,13,11,24
4223800,ELECTRICAL AND HVAC/R TRAINING CENTER   ,NY,11726-2701,Proprietary  ,51,55,106,88,82,170
4225500,WESTCHESTER SCHOOL FOR DENTAL ASSISTANTS,NY,10502-1047,Proprietary  ,6,13,19,8,14,22
4227200,BET MEDRASH GADOL ATERET TORAH          ,NY,11223-1933,Private      ,5,8,13,6,10,16
4228300,PAUL MITCHELL THE SCHOOL SCHENECTADY    ,NY,12305-2303,Proprietary  ,30,43,73,55,70,125
4230100,RABBINICAL COLLEGE OHR YISROEL          ,NY,11236-5141,Private      ,1,0,1,1,0,1
4231500,YESHIVA SHOLOM SHACHNA                  ,NY,11230-2621,Private      ,1,0,1,2,0,2
4233700,CHRISTINE VALMY INTERNATIONAL SCHOOL FOR,NY,10036-5501,Proprietary  ,52,154,206,71,215,286
4234200,CENTER FOR ULTRASOUND RESEARCH & EDUCATI,NY,10604-5104,Proprietary  ,38,80,118,63,127,190
4234300,CULINARY TECH CENTER                    ,NY,10001-2320,Proprietary  ,23,41,64,71,63,134
4234900,AMG SCHOOL OF LICENSE PRACTICAL NURSING ,NY,11201-1728,Proprietary  ,42,321,363,107,578,685
4237200,MONTEFIORE SCHOOL OF NURSING            ,NY,10550-2009,Private      ,7,71,78,30,121,151
4243200,CENTRAL YESHIVA BETH JOSEPH             ,NY,11230-6043,Private      ,0,3,3,0,5,5
4250200,FOCUS PERSONAL TRAINING INSTITUTE       ,NY,10001-6217,Proprietary  ,4,20,24,11,25,36
4251400,ELIM BIBLE INSTITUTE AND COLLEGE        ,NY,14485-9704,Private      ,22,14,36,37,19,56
4262200,ELYON COLLEGE                           ,NY,11204-4801,Private      ,21,2,23,29,4,33
4265900,YESHIVA KOLLEL TIFERETH ELIZER          ,NY,11219-0000,Private      ,0,0,0,0,1,1
4267800,BAIS BINYOMIN ACADEMY                   ,NY,10952-2430,Private      ,0,1,1,0,1,1
4270400,TRANSITIONS CAREER INSTITUTE SCHOOL OF N,NY,11354-1964,Proprietary  ,8,45,53,9,70,79
4273200,BERKOWITS SCHOOL OF ELECTROLYSIS        ,NY,11375-6820,Proprietary  ,8,20,28,14,23,37
4274600,BAIS MEDRASH ATERES SHLOMO              ,NY,10040-2424,Private      ,1,0,1,2,1,3
4275100,ANOUSHEH SCHOOL OF HAIR                 ,NY,13903-1559,Proprietary  ,1,6,7,1,7,8
4276600,YESHIVA OF OCEAN                        ,NY,12435-5308,Private      ,1,0,1,1,0,1
4276900,CONGREGATION TALMIDEI MESIVTA TIFERES SH,NY,11219-5440,Private      ,0,0,0,1,0,1
4279700,ALBERT EINSTEIN COLLEGE OF MEDICINE     ,NY,10461-1900,Private      ,42,472,514,109,719,828
4282200,NEW YORK SEMINARY (THE)                 ,NY,11218-5611,Private      ,8,2,10,12,3,15
4282800,GLASGOW CALEDONIAN NEW YORK COLLEGE     ,NY,10012-4350,Private      ,10,15,25,14,25,39
4283800,PROFESSIONAL CULINARY ACADEMY           ,NY,14222-1433,Proprietary  ,20,13,33,42,25,67
4284600,BAIS MEDRASH OF DEXTER PARK             ,NY,10977-6805,Private      ,0,2,2,1,2,3
4284900,ROYAL LEARNING INSTITUTE                ,NY,10001-5786,Proprietary  ,5,5,10,13,10,23
267808,BRYANT & STRATTON COLLEGE - PARMA       ,OH,44130-0000,Private      ,128,473,601,208,716,924
301000,ANTIOCH UNIVERSITY                      ,OH,45387-1608,Private      ,16,169,185,50,235,285
301100,ART ACADEMY OF CINCINNATI               ,OH,45202-7106,Private      ,205,72,277,675,141,816
301200,ASHLAND UNIVERSITY                      ,OH,44805-3799,Private      ,"1,008","2,643","3,651","3,161","6,362","9,523"
301300,ATHENAEUM OF OHIO                       ,OH,45230-2000,Private      ,1,2,3,1,5,6
301400,BALDWIN-WALLACE COLLEGE                 ,OH,44017-2088,Private      ,"1,143",312,"1,455","4,599",571,"5,170"
301600,BLUFFTON UNIVERSITY                     ,OH,45817-2104,Private      ,402,36,438,"1,059",78,"1,137"
301800,BOWLING GREEN STATE UNIVERSITY          ,OH,43403-0001,Public       ,"5,748","1,418","7,166","18,747","2,602","21,349"
302300,CAPITAL UNIVERSITY                      ,OH,43209-2394,Private      ,937,524,"1,461","2,877",867,"3,744"
302400,CASE WESTERN RESERVE UNIVERSITY         ,OH,44106-7049,Private      ,"3,001","2,183","5,184","17,001","3,441","20,442"
302500,CEDARVILLE UNIVERSITY                   ,OH,45314-8564,Private      ,"1,277",193,"1,470","4,683",343,"5,026"
302600,CENTRAL STATE UNIVERSITY                ,OH,45384-1004,Public       ,825,"1,608","2,433","2,816","2,695","5,511"
302900,CINCINNATI CHRISTIAN UNIVERSITY         ,OH,45204-3200,Private      ,16,28,44,44,53,97
303000,OHIO CHRISTIAN UNIVERSITY               ,OH,43113-9487,Private      ,142,341,483,460,504,964
303100,CLEVELAND INSTITUTE OF MUSIC            ,OH,44106-1776,Private      ,111,155,266,390,225,615
303200,CLEVELAND STATE UNIVERSITY              ,OH,44115-2214,Public       ,"3,055","2,140","5,195","8,478","3,658","12,136"
303300,MOUNT ST. JOSEPH UNIVERSITY             ,OH,45233-1670,Private      ,632,343,975,"1,740",574,"2,314"
303500,OHIO DOMINICAN UNIVERSITY               ,OH,43219-2099,Private      ,483,311,794,"1,495",594,"2,089"
303600,FRANCISCAN UNIV OF STEUBENVILLE         ,OH,43952-1763,Private      ,879,214,"1,093","2,182",317,"2,499"
303700,COLLEGE OF WOOSTER                      ,OH,44691-2363,Private      ,776,52,828,"2,718",97,"2,815"
303900,COLUMBUS COLLEGE OF ART AND DESIGN      ,OH,43215-1758,Private      ,627,161,788,"1,652",279,"1,931"
304000,CUYAHOGA COMMUNITY COLLEGE              ,OH,44115-2878,Public       ,"1,751","3,067","4,818","3,514","4,954","8,468"
304100,"DEFIANCE COLLEGE, THE                   ",OH,43512-1695,Private      ,282,47,329,623,75,698
304200,DENISON UNIVERSITY                      ,OH,43023-1329,Private      ,857,38,895,"3,678",84,"3,762"
304500,UNIVERSITY OF FINDLAY                   ,OH,45840-3695,Private      ,863,297,"1,160","3,014",508,"3,522"
304600,FRANKLIN UNIVERSITY                     ,OH,43215-5399,Private      ,382,"2,907","3,289",766,"5,111","5,877"
304800,HEIDELBERG UNIVERSITY                   ,OH,44883-2462,Private      ,384,71,455,"1,420",126,"1,546"
304900,HIRAM COLLEGE                           ,OH,44234-1808,Private      ,389,57,446,"1,272",114,"1,386"
305000,JOHN CARROLL UNIVERSITY                 ,OH,44118-4581,Private      ,"1,137",195,"1,332","3,794",330,"4,124"
305100,KENT STATE UNIVERSITY                   ,OH,44242-0001,Public       ,"7,445","2,488","9,933","23,186","4,979","28,165"
305101,KENT STATE UNIVERSITY - GEAUGA CAMPUS   ,OH,44021-9500,Public       ,178,139,317,345,281,626
305102,KENT STATE UNIVERSITY - STARK CAMPUS    ,OH,44720-7599,Public       ,612,341,953,"1,323",690,"2,013"
305103,KENT STATE UNIVERSITY - TUSCARAWAS CAMPU,OH,44663-9403,Public       ,253,138,391,510,314,824
305104,KENT STATE UNIVERSITY - TRUMBULL CAMPUS ,OH,44483-1998,Public       ,245,200,445,518,418,936
305105,KENT STATE UNIVERSITY - ASHTABULA CAMPUS,OH,44004-2299,Public       ,161,180,341,335,377,712
305106,KENT STATE UNIVERSITY - EAST LIVERPOOL C,OH,43920-3497,Public       ,70,109,179,153,194,347
305107,KENT STATE UNIVERSITY - SALEM CAMPUS    ,OH,44460-9412,Public       ,207,115,322,436,258,694
306500,KENYON COLLEGE                          ,OH,43022-9623,Private      ,560,37,597,"2,412",60,"2,472"
306600,LAKE ERIE COLLEGE                       ,OH,44077-3389,Private      ,299,110,409,909,167,"1,076"
306800,LORAIN COUNTY COMMUNITY COLLEGE         ,OH,44035-1691,Public       ,728,"1,000","1,728","1,435","1,651","3,086"
306900,LOURDES COLLEGE                         ,OH,43560-2898,Private      ,199,117,316,603,224,827
307200,MALONE UNIVERSITY                       ,OH,44709-3897,Private      ,427,144,571,"1,134",252,"1,386"
307300,MARIETTA COLLEGE                        ,OH,45750-4033,Private      ,530,72,602,"1,806",146,"1,952"
307500,METHODIST THEOLOGICAL SCH IN OHIO       ,OH,43015-0000,Private      ,0,18,18,0,24,24
307700,MIAMI UNIVERSITY                        ,OH,45056-1831,Public       ,"7,598","1,100","8,698","28,856","2,186","31,042"
307800,WRIGHT STATE UNIVERSITY                 ,OH,45435-0002,Public       ,"2,766","1,743","4,509","8,003","3,269","11,272"
308300,UNIVERSITY OF MOUNT UNION               ,OH,44601-3993,Private      ,742,138,880,"2,775",257,"3,032"
308400,MUSKINGUM UNIVERSITY                    ,OH,43762-1837,Private      ,608,157,765,"1,771",249,"2,020"
308500,NOTRE DAME COLLEGE OF OHIO              ,OH,44121-4293,Private      ,433,195,628,"1,334",346,"1,680"
308600,OBERLIN COLLEGE                         ,OH,44074-1090,Private      ,"1,377",78,"1,455","4,904",156,"5,060"
308900,OHIO NORTHERN UNIVERSITY                ,OH,45810-1555,Private      ,"1,027",222,"1,249","4,153",425,"4,578"
309000,OHIO STATE UNIVERSITY-ALL CAMPUSES      ,OH,43210-1358,Public       ,"19,618","7,723","27,341","66,529","13,751","80,280"
310000,OHIO UNIVERSITY                         ,OH,45701-2979,Public       ,"7,668","2,831","10,499","26,723","5,311","32,034"
310002,"OHIO UNIVERSITY, ZANESVILLE CAMPUS      ",OH,43701-0000,Public       ,219,158,377,473,277,750
310003,"OHIO UNIVERSITY, LANCASTER CAMPUS       ",OH,43130-0000,Public       ,268,163,431,614,258,872
310004,"OHIO UNIVERSITY, SOUTHERN CAMPUS        ",OH,45638-0000,Public       ,187,126,313,470,251,721
310005,"OHIO UNIVERSITY, CHILLICOTHE CAMPUS     ",OH,45601-0000,Public       ,226,197,423,534,328,862
310006,"OHIO UNIVERSITY, EASTERN CAMPUS         ",OH,43950-0000,Public       ,142,51,193,291,91,382
310008,OHIO UNIV COLL OF OSTEOPATHIC MED       ,OH,45701-0000,Public       ,2,397,399,11,507,518
310900,OHIO WESLEYAN UNIVERSITY                ,OH,43015-2398,Private      ,686,62,748,"2,219",117,"2,336"
311000,OTTERBEIN UNIVERSITY                    ,OH,43081-2006,Private      ,"1,083",178,"1,261","3,536",344,"3,880"
311300,PONTIFICAL COLLEGE JOSEPHINUM           ,OH,43235-1498,Private      ,5,4,9,10,5,15
311400,FIRELANDS REGIONAL MEDICAL CENTER - SOUT,OH,44870-4788,Private      ,17,23,40,38,34,72
311500,RABBINICAL COLLEGE OF TELSHE            ,OH,44092-2584,Private      ,3,0,3,4,2,6
311600,UNIV OF RIO GRANDE                      ,OH,45674-3131,Private      ,325,224,549,814,396,"1,210"
311900,SINCLAIR COMMUNITY COLLEGE              ,OH,45402-1460,Public       ,"1,565","1,908","3,473","3,603","3,474","7,077"
312100,TIFFIN UNIVERSITY                       ,OH,44883-2161,Private      ,753,452,"1,205","2,307",898,"3,205"
312200,UNITED THEOLOGICAL SEMINARY             ,OH,45426-2308,Private      ,0,133,133,0,165,165
312300,UNIVERSITY OF AKRON                     ,OH,44325-6211,Public       ,"2,893","1,348","4,241","10,055","2,590","12,645"
312500,UNIVERSITY OF CINCINNATI                ,OH,45221-0125,Public       ,"9,611","5,962","15,573","36,667","10,105","46,772"
312700,UNIVERSITY OF DAYTON                    ,OH,45469-1668,Private      ,"3,169",941,"4,110","14,223","1,637","15,860"
313100,UNIVERSITY OF TOLEDO                    ,OH,43606-3390,Public       ,"3,348","2,102","5,450","10,724","3,643","14,367"
313300,URBANA UNIVERSITY                       ,OH,43078-2091,Private      ,1,4,5,6,10,16
313400,URSULINE COLLEGE                        ,OH,44124-4398,Private      ,147,149,296,536,372,908
313500,WALSH UNIVERSITY                        ,OH,44720-3396,Private      ,391,316,707,"1,801",750,"2,551"
314100,WILBERFORCE UNIVERSITY                  ,OH,45384-1001,Private      ,210,80,290,677,171,848
314200,WILMINGTON COLLEGE                      ,OH,45177-2499,Private      ,485,76,561,"1,313",147,"1,460"
314300,WITTENBERG UNIVERSITY                   ,OH,45501-2199,Private      ,691,58,749,"2,157",118,"2,275"
314400,XAVIER UNIVERSITY                       ,OH,45207-1035,Private      ,"2,177",646,"2,823","9,274","1,241","10,515"
